Stock,Sector,Month,PriceStart,PriceEnd
MSFT,Tech,2025-04,2493,2247
RELIANCE,Energy,2025-01,1320,1617
WMT,Staples,2025-04,459,541
AAPL,Tech,2025-01,1339,1164
HDFC,Finance,2025-02,3173,2952
BAJAJ-AUTO,Auto,2025-06,2864,3098
JPM,Finance,2025-05,1209,1624
JPM,Finance,2025-02,680,451
JPM,Finance,2025-06,846,1347
HDFC,Finance,2025-01,1412,1736
JPM,Finance,2025-06,846,1347
HDFC,Finance,2025-02,3173,2952
BAJAJ-AUTO,Auto,2025-05,4526,4648
MSFT,Tech,2025-03,4502,4441
MSFT,Tech,2025-04,2493,2247
AAPL,Tech,2025-01,1339,1164
TCS,Tech,2025-01,3676,4125
RELIANCE,Energy,2025-05,1576,1461
BAJAJ-AUTO,Auto,2025-01,336,245
RELIANCE,Energy,2025-01,1320,1617
HDFC,Finance,2025-04,3175,3241
WMT,Staples,2025-05,703,1263
RELIANCE,Energy,2025-01,1320,1617
TCS,Tech,2025-06,1589,2086
MSFT,Tech,2025-06,624,869
BAJAJ-AUTO,Auto,2025-01,336,245
JPM,Finance,2025-01,3652,3816
TCS,Tech,2025-02,4893,5458
BAJAJ-AUTO,Auto,2025-05,4526,4648
BABA,Retail,2025-04,1892,1956
MSFT,Tech,2025-03,4502,4441
RELIANCE,Energy,2025-01,1320,1617
WMT,Staples,2025-03,4159,4614
HDFC,Finance,2025-02,3173,2952
HDFC,Finance,2025-04,3175,3241
BAJAJ-AUTO,Auto,2025-01,336,245
WMT,Staples,2025-02,3176,2953
AAPL,Tech,2025-06,2092,1800
WMT,Staples,2025-02,3176,2953
HDFC,Finance,2025-04,3175,3241
JPM,Finance,2025-02,680,451
WMT,Staples,2025-02,3176,2953
JPM,Finance,2025-05,1209,1624
TSLA,Auto,2025-05,2704,3164
BABA,Retail,2025-01,2860,3424
BABA,Retail,2025-01,2860,3424
JPM,Finance,2025-02,680,451
WMT,Staples,2025-01,1024,1413
AAPL,Tech,2025-02,4673,4693
BABA,Retail,2025-02,94,439
BAJAJ-AUTO,Auto,2025-04,4347,4803
RELIANCE,Energy,2025-01,1320,1617
JPM,Finance,2025-04,1731,1861
TSLA,Auto,2025-01,139,491
JPM,Finance,2025-06,846,1347
WMT,Staples,2025-02,3176,2953
TSLA,Auto,2025-05,2704,3164
TSLA,Auto,2025-06,4541,4909
BABA,Retail,2025-01,2860,3424
BAJAJ-AUTO,Auto,2025-03,4817,4874
MSFT,Tech,2025-06,624,869
JPM,Finance,2025-05,1209,1624
MSFT,Tech,2025-05,3466,3529
JPM,Finance,2025-01,3652,3816
MSFT,Tech,2025-04,2493,2247
WMT,Staples,2025-04,459,541
TSLA,Auto,2025-01,139,491
WMT,Staples,2025-05,703,1263
BAJAJ-AUTO,Auto,2025-01,336,245
MSFT,Tech,2025-02,4186,4388
JPM,Finance,2025-01,3652,3816
MSFT,Tech,2025-06,624,869
WMT,Staples,2025-06,1416,1914
TCS,Tech,2025-05,964,1199
MSFT,Tech,2025-02,4186,4388
MSFT,Tech,2025-06,624,869
JPM,Finance,2025-05,1209,1624
BABA,Retail,2025-04,1892,1956
TSLA,Auto,2025-03,3652,3445
BAJAJ-AUTO,Auto,2025-05,4526,4648
BABA,Retail,2025-03,2102,1873
JPM,Finance,2025-01,3652,3816
TCS,Tech,2025-03,2916,3173
AAPL,Tech,2025-06,2092,1800
AAPL,Tech,2025-05,1570,2151
MSFT,Tech,2025-02,4186,4388
JPM,Finance,2025-01,3652,3816
JPM,Finance,2025-01,3652,3816
HDFC,Finance,2025-03,4931,5321
TCS,Tech,2025-03,2916,3173
BAJAJ-AUTO,Auto,2025-01,336,245
BABA,Retail,2025-05,2388,2448
RELIANCE,Energy,2025-05,1576,1461
WMT,Staples,2025-04,459,541
WMT,Staples,2025-02,3176,2953
JPM,Finance,2025-01,3652,3816
WMT,Staples,2025-04,459,541
MSFT,Tech,2025-01,1147,1103
BAJAJ-AUTO,Auto,2025-01,336,245
TSLA,Auto,2025-04,4223,4329
